Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.019673866	0.000702488445	0.000702488445	0.000702488445	0.000702488445	0	0	0	0	0	0	3
2	3	0	0.0393477321	0.000619688104	0.000661088274	0.000619688104	0.000702488445	4.14001706e-005	0	0	0	0	0	3
3	3	0	0.0590215981	0.000647769235	0.000656648595	0.000619688104	0.000702488445	4.58398503e-005	0	0	0	0	0	3
4	4	0	0.0786954642	0.000674561324	0.000661126777	0.000619688104	0.000702488445	4.58398503e-005	0	0	0	0	0	3
5	5	0	0.0983693302	0.000699774543	0.00066885633	0.000619688104	0.000702488445	4.58398503e-005	0	0	0	0	0	3
6	5	0	0.118043196	0.000722881999	0.000677860608	0.000619688104	0.000722881999	4.58398503e-005	0	0	0	0	0	3
7	6	0	0.137717062	0.000753438421	0.000688657439	0.000619688104	0.000753438421	4.58398503e-005	0	0	0	0	0	3
8	7	0	0.157390928	0.000779773806	0.000700046985	0.000619688104	0.000779773806	4.58398503e-005	0	0	0	0	0	3
9	7	0	0.177064794	0.000803786381	0.000711573584	0.000619688104	0.000803786381	5.49249897e-005	0	0	0	0	0	3
10	8	0	0.19673866	0.000825757551	0.000722991981	0.000619688104	0.000825757551	6.63433863e-005	0	0	0	0	0	3
11	9	0	0.216412526	0.000845153868	0.000734097607	0.000619688104	0.000845153868	7.74490124e-005	0	0	0	0	0	3
12	10	0	0.236086393	0.000872368642	0.000745620193	0.000619688104	0.000872368642	8.89715987e-005	0	0	0	0	0	3
13	11	0	0.255760259	0.000896364955	0.000757215944	0.000619688104	0.000896364955	0.00010056735	0	0	0	0	0	3
14	12	0	0.275434125	0.000918449988	0.000768732662	0.000619688104	0.000918449988	0.000112084067	0	0	0	0	0	3
15	13	0	0.295107991	0.000938189798	0.000780029804	0.000619688104	0.000938189798	0.000123381209	0	0	0	0	0	3
16	14	0	0.314781857	0.000956625264	0.00079106702	0.000619688104	0.000956625264	0.000134418426	0	0	0	0	0	3
17	14	0	0.334455723	0.000982062626	0.000802302056	0.000619688104	0.000982062626	0.000145653461	0	0	0	0	0	3
18	15	0	0.354129589	0.00100449195	0.000813534828	0.000619688104	0.00100449195	0.000156886233	0	0	0	0	0	3
19	16	0	0.373803455	0.00102544072	0.00082468777	0.000619688104	0.00102544072	0.000168039175	0	0	0	0	0	3
20	16	0	0.393477321	0.00104385568	0.000835646165	0.000619688104	0.00104385568	0.000178997571	0	0	0	0	0	3
21	17	0	0.413151187	0.00106108841	0.00084638151	0.000619688104	0.00106108841	0.000189732916	0	0	0	0	0	3
22	18	0	0.432825053	0.00108377447	0.0008571721	0.000619688104	0.00108377447	0.000200523505	0	0	0	0	0	3
23	18	0	0.452498919	0.0011039463	0.000867901413	0.000619688104	0.0011039463	0.000211252818	0	0	0	0	0	3
24	19	0	0.472172785	0.00112164572	0.000878474092	0.000619688104	0.00112164572	0.000221825497	0	0	0	0	0	3
25	20	0	0.491846651	0.0011377871	0.000888846613	0.000619688104	0.0011377871	0.000232198018	0	0	0	0	0	3
26	20	0	0.511520517	0.00115252152	0.000898987955	0.000619688104	0.00115252152	0.00024233936	0	0	0	0	0	3
27	21	0	0.531194383	0.00117206329	0.000917048526	0.000619688104	0.00117206329	0.000260399931	0	0	0	0	0	3
28	22	0	0.550868249	0.00118937396	0.00093895952	0.000647769235	0.00118937396	0.000282310926	0	0	0	0	0	3
29	22	0	0.570542115	0.0012045928	0.000960375811	0.000674561324	0.0012045928	0.000299249034	0	0	0	0	0	3
30	23	0	0.590215981	0.00121846547	0.000981295201	0.000699774543	0.00121846547	0.000312438871	0	0	0	0	0	3
